uniprot_id,gene_name,protein_name,seq_length
R4M996,J113_19610,Putative Sn-glycerol-3-phosphate transport ATP-binding protein ABC transporter U,124
R4MKQ5,J113_18195,PPE family protein,61
R4MM27,J113_21570,PNPLA domain-containing protein,358
R4M4G0,J113_01460,Transmembrane protein,204
R4MD59,J113_23705,PE-PGRS family protein,467
R4MGH7,J113_07535,SGNH hydrolase-type esterase domain-containing protein,96
R4MJI4,J113_15120,Uncharacterized protein,74
R4MA86,J113_16015,Transposase,51
R4MBD8,J113_24715,4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase,104
R4M4E1,J113_01260,Mce associated transmembrane protein,142
R4M5Z2,J113_11355,Uncharacterized protein,133
R4MIY6,J113_13450,Uncharacterized protein,60
R4MJU5,J113_19380,Uncharacterized protein,146
R4MM55,J113_24895,Short chain dehydrogenase,105
R4MB62,J113_24070,Alpha/beta hydrolase,203
R4M8C6,tig,Trigger factor,181
R4MA36,J113_03455,Uncharacterized protein,62
R4ML98,J113_22975,Piperideine-6-carboxylic acid dehydrogenase,222
R4M553,J113_09060,Transcription termination factor Rho,203
R4M593,J113_09340,Lipoprotein LprD,179
R4M6J8,J113_12895,Alanine and proline-rich secreted protein Apa,204
R4MJN3,J113_18955,Uncharacterized protein,140
R4M679,J113_05835,PE-PGRS family protein,370
R4MHT8,J113_21060,PE family protein,60
R4MCG9,J113_27230,Uncharacterized protein,79
R4M314,J113_04005,Benzoquinone methyltransferase,233
R4MEF0,J113_13110,Putative dehydrogenase,270
R4MM16,J113_24555,PE-PGRS family protein,344
R4M5L6,J113_10180,Putative transcriptional regulatory protein,148
R4MKL1,J113_27180,PPE family protein,250
R4M6K9,J113_12945,Acetyl-CoA acetyltransferase,341
R4M9X0,J113_21125,"Glycosyl hydrolase, family protein 57",367
R4MKL7,J113_17840,Uncharacterized protein,77
R4MC96,J113_21070,PE family protein,67
R4MHR6,J113_20885,Uncharacterized protein,115
R4M4G6,J113_01495,Uncharacterized protein,77
R4M2Q9,J113_03075,Putative Gcn5-related N-acetyltransferase,85
R4M9J3,J113_20270,Chromosome segregation protein SMC,74
R4M3F6,rpsC,Small ribosomal subunit protein uS3,277
R4MIR5,J113_13070,Transmembrane protein,199
R4M669,J113_05780,HTH tetR-type domain-containing protein,183
R4MBM0,J113_19555,DUF1802 family protein,230
R4MFX8,J113_06145,Uncharacterized protein,64
R4M229,J113_01645,Transmembrane protein,51
R4MFA9,J113_07935,Transmembrane protein,186
R4MK05,J113_19770,PE-PGRS family protein,121
R4M5D0,J113_09555,TfuA-like core domain-containing protein,262
R4M8H2,J113_17620,Putative fatty acid synthase Fas (Fatty acid synthetase),73
R4M6Z4,J113_07835,PIN domain-containing protein,62
R4M912,J113_19065,"Phage shock protein A, PspA",172
R4M5Y2,J113_05255,Uncharacterized protein,58
R4MK91,J113_26575,Polyketide synthase Pks13 (Termination polyketide synthase),219
R4MM32,J113_24690,DUF1214 domain-containing protein,230
R4M466,J113_06485,Manganese transport protein MntH,178
R4M8P3,J113_18225,Lipid A biosynthesis lauroyl acyltransferase,181
R4M910,J113_01105,Response regulator receiver domain-containing protein,68
R4M1Q4,J113_00775,PE-PGRS family protein,94
R4MHY3,J113_14435,Uncharacterized protein,75
R4M4N8,J113_02045,S-adenosyl-L-methionine-dependent methyltransferase,157
R4MI52,J113_11625,Uncharacterized protein,115
R4MHA4,J113_19840,DUF1707 domain-containing protein,131
R4MNW5,J113_25865,DUF4185 domain-containing protein,200
R4MA16,J113_21520,O-acyltransferase WSD1 C-terminal domain-containing protein,89
R4MBU8,J113_07540,SGNH hydrolase-type esterase domain-containing protein,143
R4M770,J113_14095,Polyketide synthase Pks12 required for biosynthesis of mannosyl-beta-1-phosphomy,157
R4MKL5,J113_21160,Uncharacterized protein,149
R4MBR0,J113_19905,1-deoxy-D-xylulose 5-phosphate reductoisomerase,90
R4MLP8,J113_23945,Gcp-like domain-containing protein,114
R4MBC2,J113_24570,PE-PGRS family protein,683
R4MEX4,J113_07020,Methyltransferase,130
R4M6A4,J113_12295,PE domain-containing protein,668
R4M8S5,J113_00390,Glucanase,202
R4MAX4,J113_17525,Lipoprotein,89
R4MJY8,J113_25785,DUF58 domain-containing protein,295
R4MN62,J113_24035,YjeF C-terminal domain-containing protein,198
R4M8U3,J113_18590,Secreted protease,116
R4MIU1,J113_23610,O-acyltransferase WSD1 C-terminal domain-containing protein,276
R4MJ94,J113_24040,Uncharacterized protein,107
R4MBP8,J113_25680,Endoribonuclease L-PSP/chorismate mutase-like domain-containing protein,110
R4MDI9,J113_03845,Uncharacterized protein,73
R4MG84,J113_06965,Putative UTP--glucose-1-phosphate uridylyltransferase GalU (UDP-glucose pyrophos,166
R4M917,J113_01175,Uncharacterized protein,61
R4M7S1,J113_09560,Uncharacterized protein,94
R4ML67,J113_22750,F420-0--gamma-glutamyl ligase,79
R4MM52,J113_24870,Transposase,84
R4MHH2,J113_09715,PE-PGRS family protein,106
R4M1M5,J113_00480,Transmembrane protein,79
R4MDF6,bioD,Dithiobiotin synthetase,63
R4MNK0,J113_25115,Lipoprotein,161
R4M9R5,purT,Phosphoribosylglycinamide formyltransferase 2,168
R4M2J0,purT,Phosphoribosylglycinamide formyltransferase 2,260
R4ML88,J113_19480,Uncharacterized protein,113
R4M907,J113_19035,PE-PGRS family protein,158
R4MAB3,J113_04155,"Transcriptional regulator, arsR-family protein",89
R4MB00,mltG,Endolytic murein transglycosylase,544
R4MFU5,J113_16275,Uncharacterized protein,69
R4M3B9,J113_04800,Enoyl-CoA hydratase,69
R4MLJ6,J113_23575,PE-PGRS family protein,64
R4MDC2,J113_00145,Nitronate monooxygenase domain-containing protein,210
R4MEV6,J113_03850,Uncharacterized protein,148
R4MA21,J113_21580,Transmembrane protein,110
R4M1R2,J113_00850,Oxalyl-CoA decarboxylase,124
R4M8R4,J113_00315,DUF1707 domain-containing protein,206
R4MFL5,J113_05470,RelA/SpoT domain-containing protein,233
R4MC71,J113_08355,AB hydrolase-1 domain-containing protein,204
R4M8E6,J113_17320,PE-PGRS family protein,130
R4M1U9,J113_01120,NAD(P) transhydrogenase subunit alpha,64
R4MHF5,J113_09570,HNH nuclease domain-containing protein,370
R4MB38,J113_05855,Uncharacterized protein,141
R4MAP1,J113_23275,N-acetylglucosamine-6-phosphate deacetylase,325
R4ME79,J113_26325,Uncharacterized protein,106
R4MDS2,J113_25165,PE-PGRS family protein,187
R4MHW2,J113_21215,Uncharacterized protein,68
R4MNB8,J113_24475,PE-PGRS family protein,101
R4MEH4,J113_13265,PPE family protein,418
R4M9I3,J113_13850,Trehalose-6-phosphate phosphatase otsB1,222
R4M4I9,J113_01650,Transmembrane protein,417
R4MGT7,J113_08290,Polyketide beta-ketoacyl synthase Pks3/4,117
R4MHV1,J113_10770,Uncharacterized protein,68
R4MEN3,J113_03410,Bacterial Ig domain-containing protein,164
R4MIS9,J113_16685,PE-PGRS family protein,66
R4MHF3,J113_20265,Chromosome segregation protein SMC,124
R4M4K5,J113_07625,PE-PGRS family protein,178
R4M5I7,J113_04165,PE-PGRS family protein,410
R4MKS9,J113_18370,PE-PGRS family protein,171
R4MDW6,J113_25455,DNA polymerase III subunit delta,131
R4MGI7,J113_07615,PE-PGRS family protein,346
R4ME93,J113_26430,Glycosyltransferase 2-like domain-containing protein,308
R4MIR4,J113_16560,Phenyloxazoline synthase,326
R4MMD1,J113_25470,DNA topoisomerase I subunit omega,662
R4M9Y0,trpD,Anthranilate phosphoribosyltransferase,244
R4M799,J113_14420,Transposase,92
R4MD19,J113_23365,PE-PGRS family protein,351
R4MKK7,J113_21100,Electron transfer flavoprotein subunit alpha,194
R4MD45,dnaE2,Error-prone DNA polymerase,179
R4MEH2,J113_26975,Uncharacterized protein,172
R4M9N6,J113_14390,PE-PGRS family protein,187
R4MDI5,J113_03815,5'-methylthioadenosine phosphorylase,201
R4MAX3,J113_05500,Integral membrane protein,61
R4MDL9,J113_04085,Ribonucleoside-diphosphate reductase large subunit nrdZ,125
R4MLA3,J113_23015,Putative ATP-dependent helicase Lhr (Large helicase-related protein),54
R4M6M5,J113_06700,Putative magnesium chelatase,576
R4M4J0,J113_07475,PE-PGRS family protein,189
R4MDI0,J113_03790,PE-PGRS family protein,137
R4MDJ4,J113_24490,PE-PGRS family protein,103
R4MED6,J113_02810,13E12 repeat family protein,79
R4M1H3,J113_00085,Uncharacterized protein,69
R4MD31,J113_09860,Uncharacterized protein,62
R4MBP5,J113_25655,Membrane-anchored thioredoxin-like protein,96
R4M964,J113_13250,PPE family protein,199
R4MA82,J113_15990,Uncharacterized protein,84
R4M2I5,J113_02725,Uncharacterized protein,207
R4MD35,J113_09895,Lipoprotein,188
R4MKJ0,J113_17610,Fatty acid synthase Fas,116
R4MAX9,J113_23700,PE-PGRS family protein,159
R4ME44,J113_02215,PPE family protein,686
R4MHB2,J113_13015,Uncharacterized protein,162
R4M5X8,J113_05220,PE-PGRS family protein,87
R4MBN8,J113_25565,Helicase/secretion neighborhood CpaE-like protein,104
R4MGE7,J113_10680,Uncharacterized protein,136
R4MKZ8,J113_22225,Uncharacterized protein,62
R4MC29,J113_26665,Uncharacterized protein,99
R4MBE4,recA,Protein RecA,132
R4MCH2,J113_21765,Uncharacterized protein,108
R4MH63,J113_09015,DUF732 domain-containing protein,68
R4MC12,J113_26540,Membrane indolylacetylinositol arabinosyltransferase embB,151
R4M4N3,J113_02005,PE-PGRS family protein,76
R4MBR3,J113_25790,DUF58 domain-containing protein,149
R4ME19,J113_02055,Putative ESX-3 secretion system protein,106
R4MJD0,J113_14660,Uncharacterized protein,117
R4MMC3,J113_25410,Transposase,178
R4M6S2,J113_07175,Transcription-repair coupling factor,147
R4MFS8,J113_05815,PE domain-containing protein,115
R4M472,J113_00740,Uncharacterized protein,148
R4MAV2,dnaE2,Error-prone DNA polymerase,194
R4M8B5,valS,valine--tRNA ligase,339
R4MGQ4,J113_18475,Uncharacterized protein,61
R4MAV3,J113_05405,Cytochrome P450,196
R4MGQ1,pheT,Phenylalanyl-tRNA ligase subunit beta,481
R4M425,J113_00265,Transmembrane protein,107
R4MF46,J113_07460,Lipoprotein,150
R4MMA8,J113_25290,ESX-1 secretion-associated protein EspA/EspE-like domain-containing protein,268
R4MMK5,J113_22895,Uncharacterized protein,87
R4M602,J113_11415,Uncharacterized protein,81
R4M4M6,J113_07830,Uncharacterized protein,75
R4MD84,J113_23895,Anti-sigma-D factor RsdA sigma factor binding region domain-containing protein,235
R4MDJ0,J113_00595,Methyltransferase/methylase,148
R4MGY1,recX,Regulatory protein RecX,136
R4MHC2,J113_13065,Uncharacterized protein,334
R4MLJ9,J113_20260,Chromosome segregation protein SMC,139
R4MN24,J113_23950,Gcp-like domain-containing protein,172
R4MPG5,J113_27020,ESX-1 secretion-associated protein EspG1,153
R4M6C7,J113_06135,DUF3027 domain-containing protein,208
R4MH82,J113_19690,DUF4439 domain-containing protein,262
R4MLM4,J113_20465,Uncharacterized protein,60
R4M275,J113_02000,PE-PGRS family protein,60
R4MAC3,J113_16215,PE domain-containing protein,160
R4MA81,J113_03855,Transmembrane protein,109
R4MGD4,J113_10545,Integral membrane protein,166
R4MJF6,J113_24505,PE-PGRS family protein,788
R4M2R8,J113_03145,Uncharacterized protein,63
R4M2X5,hemC,Porphobilinogen deaminase,301
R4MFK8,J113_15775,Transmembrane protein,67
R4MFU2,J113_05875,Uncharacterized protein,87
R4M5G5,J113_03915,VOC domain-containing protein,102
R4MBK1,J113_19425,DUF2293 domain-containing protein,114
R4MKI7,J113_20925,Secreted protein,84
R4MEC0,J113_02690,LysR family transcriptional regulator,320
R4MGF3,J113_17615,Uncharacterized protein,125
R4MCJ3,J113_21900,Uncharacterized protein,83
R4MGU3,J113_08325,Uncharacterized protein,172
R4MIQ5,J113_13020,Putative glutamine synthetase GlnA3 (Glutamine synthase) (GS-I),288
R4MIC5,J113_15540,Uncharacterized protein,104
R4M563,J113_03055,Uncharacterized protein,92
R4MFW4,J113_06035,DNA-binding protein,87
R4MHA5,J113_09250,Alpha-glucan phosphorylase,68
R4MBL9,J113_06970,UTP--glucose-1-phosphate uridylyltransferase,185
R4MNF8,J113_24730,Acetaldehyde dehydrogenase,123
R4MD94,J113_03060,Transmembrane protein,107
R4MG90,tig,Trigger factor,298
R4MEA0,J113_12890,PE-PGRS family protein,98
R4M6V1,J113_07405,Fido domain-containing protein,94
R4M637,J113_11875,PPE family protein,289
R4MGK2,J113_18045,Adenine phosphoribosyltransferase,83
R4M5I8,J113_09865,Alanine racemase N-terminal domain-containing protein,100
R4MBV6,J113_26115,Diacylglycerol O-acyltransferase,321
R4MBA9,J113_24485,PE-PGRS family protein,462
R4M2L6,J113_02990,Lipoprotein peptidase lpqM,373
R4MC04,J113_07945,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,548
R4MDU7,J113_01445,Transmembrane protein,182
R4MB75,J113_18485,HK97 family phage prohead protease,92
R4M7W0,J113_16110,Cobalt transport protein,56
R4MNI1,J113_24900,Short chain dehydrogenase,248
R4MHL6,J113_13580,Uncharacterized protein,74
R4MHZ3,J113_14550,Uncharacterized protein,62
R4MFX3,J113_09350,Long-chain-fatty-acid--[acyl-carrier-protein] ligase,91
R4MD23,J113_23390,PE-PGRS family protein,208
R4MF00,J113_14280,RNA polymerase sigma factor,148
R4M936,J113_19200,PPE family protein,75
R4MKF6,J113_17310,PE-PGRS family protein,275
R4MNR3,J113_25535,Alanine rich membrane protein,139
R4MEB8,J113_05710,4-amino-4-deoxychorismate lyase,102
R4MFE3,rplR,50S ribosomal protein L18,85
R4MP59,J113_26370,Oxidoreductase,131
R4MCQ3,J113_22390,Uncharacterized protein,73
R4M6E6,J113_12555,PPE family protein,240
R4MLX6,J113_21105,Electron transfer flavoprotein subunit alpha,119
R4ME28,J113_02130,ESX conserved component EccD3,113
R4MI49,J113_15025,Uncharacterized protein,61
R4MFC4,J113_15185,Uncharacterized protein,61
R4M7K5,J113_15290,Glycerate kinase,141
R4MGB7,J113_17315,Uncharacterized protein,92
R4MHN2,J113_10170,Integral membrane protein,443
R4MIQ1,J113_23320,Alpha/beta hydrolase,108
R4MEK1,J113_27190,Uncharacterized protein,54
R4MMB1,J113_25325,PPE family protein,71
R4MBM3,J113_07005,Uncharacterized protein,76
R4M7N4,J113_09380,Drugs-transport transmembrane ATP-binding protein ABC transporter,171
R4MLP2,J113_23900,RNA polymerase sigma factor,178
R4MEX1,J113_03950,Amidohydrolase,125
R4M398,J113_04640,Malonyl CoA-acyl carrier protein transacylase,183
R4MD40,J113_09930,Lipoprotein,253
R4MIF2,J113_12390,4-alpha-glucanotransferase,184
R4MJL1,J113_24935,Long-chain-fatty-acid--CoA ligase,61
R4MHK7,J113_09950,Esterase,183
R4M782,J113_08450,AAA+ ATPase domain-containing protein,136
R4M8W6,J113_18790,Uncharacterized protein,73
R4M555,J113_03030,Cation-transporting P-type ATPase C-terminal domain-containing protein,485
R4M8F3,J113_11420,Uncharacterized protein,93
R4MBV7,J113_07620,PE-PGRS family protein,233
R4M5K4,J113_10050,Uncharacterized protein,110
R4M7U0,J113_16010,Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein,183
R4M7C5,kgd,Alpha-ketoglutarate decarboxylase,103
R4MHU9,J113_14120,Polyprenol-monophosphomannose synthase Ppm1,476
R4MB57,J113_24045,Uncharacterized protein,142
R4MMG3,J113_25715,Membrane carboxypeptidase (Penicillin-binding protein),81
R4MH45,J113_08930,Uncharacterized protein,333
R4MI18,J113_21680,Alkyldihydroxyacetonephosphate synthase,422
R4M9B9,J113_19810,Putative aldehyde dehydrogenase ALDC,93
R4MFP8,J113_08925,AAA domain-containing protein,160
R4M4N1,J113_07855,Adenylate and guanylate cyclase catalytic domain-containing protein,156
R4M961,J113_01485,Uncharacterized protein,106
R4MHF2,J113_13255,PPE family protein,194
R4MFH9,J113_08455,Cytokinin riboside 5'-monophosphate phosphoribohydrolase,147
R4M4P3,J113_02070,Uncharacterized protein,245
R4M9C9,J113_13440,Uncharacterized protein,72
R4M5Z1,J113_05315,PE-PGRS family protein,86
R4MAZ0,J113_23760,Uncharacterized protein,129
R4MG65,J113_06800,Uncharacterized protein,94
R4MCF8,J113_01095,Uncharacterized protein,96
R4MH67,J113_12760,PE-PGRS family protein,203
R4MBX0,J113_07715,PhoH family protein,62
R4MDK7,J113_24575,PE-PGRS family protein,878
R4MBD6,J113_18950,Uncharacterized protein,173
R4MKA2,J113_26685,Uncharacterized protein,127
R4M7N3,J113_15590,ESX-1 secretion-associated protein,89
R4MEN1,J113_27330,RNA polymerase sigma factor SigM,193
R4MJ87,J113_17885,Uncharacterized protein,104
R4ME98,J113_02545,PPE family protein,122
R4M1N3,J113_00550,Hydrogenase HycP,110
R4MAS9,J113_05295,3-hydroxyisobutyrate dehydrogenase,108
R4ML00,J113_18900,Transmembrane alanine and glycine rich protein,100
R4MMH1,J113_22645,Uncharacterized protein,90
R4M818,J113_10150,Putative unidentified antibiotic-transport integral membrane ABC transporter,288
R4M9F8,J113_20035,PPE family protein,409
R4MIK7,J113_12765,PE-PGRS family protein,110
R4MG18,J113_16840,Uncharacterized protein,136
R4MFA2,J113_15035,16S rRNA m(4)C1402 methyltransferase,121
R4M8Y4,J113_12840,Urease accessory protein ureG,126
R4MKM4,J113_17890,DUF2126 domain-containing protein,277
R4MDN7,pheT,Phenylalanyl-tRNA ligase subunit beta,161
R4MN02,J113_23750,PE family protein,74
R4ME38,J113_05260,Putative PE-PGRS family protein PE_PGRS3,414
R4MK37,J113_16515,Peptide synthetase,78
R4MA93,J113_03955,Amidohydrolase 3 domain-containing protein,393
R4MES7,J113_13775,P-type HAD superfamily ATPase,290
R4MNI9,J113_25000,Oxidoreductase,365
R4M8E2,J113_17275,PE-PGRS family protein,147
R4MD62,J113_10175,Transcriptional regulatory protein,59
R4MDJ5,trpC,indole-3-glycerol-phosphate synthase,181
R4MGG3,nusB,Transcription antitermination protein NusB,118
R4MCY5,J113_09720,PE-PGRS family protein,413
R4M2G9,J113_02625,VWFA domain-containing protein,231
R4MCS7,J113_02010,PE-PGRS family protein,346
R4M9S6,J113_14785,Uncharacterized protein,52
R4M4R9,J113_02230,GLTT repeat protein,108
R4MBY8,J113_26320,Uncharacterized protein,80
R4MHQ6,J113_13830,Uncharacterized protein,68
R4M989,J113_01640,Transmembrane protein,367
R4MH96,J113_09190,Adenylate cyclase,368
R4MEC2,J113_05735,Thioredoxin,121
R4MNL9,J113_25270,Putative arginine and proline rich protein,192
R4M2A9,J113_02225,Exported repetitive protein PirG,108
R4M8P8,J113_00185,Uncharacterized protein,163
R4MJ14,J113_17125,Uncharacterized protein,185
R4MMU9,J113_26615,Long-chain-fatty-acid--CoA ligase,237
R4MBN9,J113_19730,Cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase,118
R4MGP2,J113_18375,PE-PGRS family protein,120
R4MGP7,J113_18400,Uncharacterized protein,170
R4MA98,J113_22190,Uncharacterized protein,86
R4MGU4,J113_11955,Cyclase,411
R4MD56,J113_23680,PIN domain-containing protein,78
R4MEM4,J113_03350,Uncharacterized protein,75
R4MBH7,J113_19205,PPE family protein,247
R4MNK3,J113_25140,Hydrolase,97
R4MLR9,J113_20615,TetR family transcriptional regulator,50
R4MME4,J113_22425,Integral membrane protein,114
R4M496,J113_00925,MaoC-like domain-containing protein,151
R4MEZ8,J113_04150,Putative regulatory protein (Possibly ArsR-family),185
R4MLG9,J113_23395,Uncharacterized protein,87
R4MEJ6,J113_03040,Putative metal cation transporting P-type ATPase CtpH,177
R4MNT5,J113_25720,Bifunctional membrane-associated penicillin-binding protein 1A/1B PonA2,70
R4ME27,J113_25995,Transmembrane protein,56
R4MDK3,J113_24550,PE-PGRS family protein,204
R4M6X6,J113_07655,PE-PGRS family protein,421
R4MKR0,J113_27310,Secreted protein,378
R4MFI6,J113_05325,PE-PGRS family protein,322
R4MJ82,J113_14325,Uncharacterized protein,114
R4MLB5,J113_23065,Flavoprotein disulfide reductase,324
R4MAH7,J113_16680,PE-PGRS family protein,253
R4MEE1,J113_02845,Secreted protein,273
R4M8W7,J113_12755,PE-PGRS family protein,175
R4MLL0,J113_20310,Uncharacterized protein,208
R4MGK6,J113_07755,DUF4245 domain-containing protein,134
R4MEX0,J113_06985,Molybdenum cofactor synthesis domain-containing protein,59
R4MK98,J113_26660,Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein,58
R4MAV0,J113_17325,PE-PGRS family protein,177
R4MCH5,J113_01215,Integral membrane protein YRBE1B,172
R4MFN0,J113_15895,DSBA-like thioredoxin domain-containing protein,168
R4MGY9,J113_12220,PE-PGRS family protein,565
R4M4U0,J113_08265,Uncharacterized protein,193
R4MHX6,J113_21320,Acyl-CoA dehydrogenase fadE22,248
R4MHU8,J113_21120,Methyltransferase type 11 domain-containing protein,239
R4M4V1,J113_08335,Proline dehydrogenase,230
R4M534,J113_08915,Phosphoglycerate mutase,198
R4MK80,J113_20305,Cell division protein,99
R4M5T1,J113_10820,PPE family protein,497
R4MJF2,J113_24480,PE-PGRS family protein,70
R4MLU5,J113_20880,Alanine rich dehydrogenase,158
R4MBZ7,J113_26380,Aminotransferase,422
R4MM89,J113_25170,PE-PGRS family protein,161
R4MMX0,J113_26725,Phosphotransferase,187
R4MF59,J113_14675,RecB family exonuclease,139
R4MF21,J113_14405,PPE family protein,310
R4MGA7,J113_07120,Long-chain-fatty-acid--CoA ligase,303
